operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7448264,-58.3950159",132000,USD,2001436.8,132000,81,73,1629.62963,1808.219178,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4355245,-58.5605451",210000,USD,3184104,210000,100,0,2100,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.9146303,-57.9222761",,,,,37,,,,5,1,
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5733973,-58.421747",485000,USD,7353764,485000,95,95,5105.263158,5105.263158,,3,1
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|,"-34.9258575296,-58.4951782629",,,,,1200,420,,,,,
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5620844,-58.4566864",118885,USD,1802581.92,118885,40,35,2972.125,3396.714286,,1,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Muñiz|,"-34.5378456,-58.7181816",77500,USD,1175086,77500,45,,1722.222222,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,58000,USD,879419.2,58000,,48,,1208.333333,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,"-34.5299063,-58.495922",118000,USD,1789163.2,118000,,42,,2809.52381,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,60000,USD,909744,60000,,25,,2400,,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Villa Udaondo|,"-34.620327,-58.700737",110000,USD,1667864,110000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5892291,-58.3909376",190000,USD,2880856,190000,60,55,3166.666667,3454.545455,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5133908,-58.4747399",183000,USD,2774719.2,183000,73,,2506.849315,,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,900000,USD,13646160,900000,620,620,1451.612903,1451.612903,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.725912,-58.253982",,,,,,,,,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Solares del Talar|,"-34.4769485645,-58.6352916117",420000,USD,6368208,420000,250,250,1680,1680,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,320000,USD,4851968,320000,100,88,3200,3636.363636,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5074199,-58.492631",153000,USD,2319847.2,153000,108,102,1416.666667,1500,,4,750
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,279000,USD,4230309.6,279000,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,285000,USD,4321284,285000,110,200,2590.909091,1425,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6117531,-58.56426",50000,USD,758120,50000,57,57,877.1929825,877.1929825,2,3,85
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|San Miguel|,"-34.563337,-58.710017",460000,USD,6974704,460000,390,390,1179.487179,1179.487179,,4,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6206701,-58.4280921",157000,USD,2380496.8,157000,78,74,2012.820513,2121.621622,,3,1700
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|San Miguel|,"-34.543055,-58.7118577",350000,USD,5306840,350000,280,280,1250,1250,,3,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5776749,-58.5315384",150000,USD,2274360,150000,159,132,943.3962264,1136.363636,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,320000,USD,4851968,320000,500,193,640,1658.031088,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5086,-58.4915",82000,USD,1243316.8,82000,39,39,2102.564103,2102.564103,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.65065002,-58.61501312",90000,USD,1364616,90000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.617869,-58.422687",119000,USD,1804325.6,119000,56,50,2125,2380,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4887628,-58.5010475",185000,USD,2805044,185000,61,61,3032.786885,3032.786885,1,,
sell,house,"|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Barrio Cerrado ""La Delfina""|","-34.455530115,-58.8676664745",260000,USD,3942224,260000,223,223,1165.919283,1165.919283,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6548052,-58.6151935",,,,,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4114685727,-58.6886063043",295000,USD,4472908,295000,250,250,1180,1180,,4,3000
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.721929,-58.277244",925000,ARS,922432.65,60836.85,,37,,25000,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6939885,-58.5023064",,,,,,,,,,,
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5972390007,-58.3975515537",290000,USD,4397096,290000,90,82,3222.222222,3536.585366,2,3,3600
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.5083734,-58.5347343",420000,USD,6368208,420000,348,0,1206.896552,,,,
