operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,"-34.8008032625,-58.4151729879",98000,USD,1485915.2,98000,215,98,455.8139535,1000,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.4408722,-58.5554124",85000,USD,1288804,85000,50,50,1700,1700,,,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6240306,-58.4306873",88660,USD,1344298.38,88660,31,28,2860,3166.428571,,1,
sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6575237,-58.6660913",1600000,USD,24259840,1600000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.4207148121,-58.6252415476",638000,USD,9673611.2,638000,190,130,3357.894737,4907.692308,,4,3500
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Lomas de Zamora|,"-34.7620958,-58.3998013",190000,USD,2880856,190000,96,90,1979.166667,2111.111111,,,650
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.65877533,-58.66945267",46500,USD,705051.6,46500,,,,,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6458314,-58.5798947",90000,USD,1364616,90000,90,80,1000,1125,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,"-34.6033012826,-58.8639162387",,,,,500,500,,,,,
sell,apartment,|Argentina|Capital Federal|Versalles|,"-34.6316435,-58.5192618",150000,USD,2274360,150000,75,75,2000,2000,,4,1900
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5076035,-58.4959989",320000,USD,4851968,320000,266,245,1203.007519,1306.122449,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5557523174,-58.7160873413",165000,USD,2501796,165000,,275,,600,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,,100000,USD,1516240,100000,173,130,578.0346821,769.2307692,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4430242733,-58.7387490172",2148154,ARS,2142191.78,141283.16,67,49,2108.703881,43839.87755,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9022658,-57.9481881",,,,,,,,,,,
sell,apartment,|Argentina|Capital Federal|,,130000,USD,1971112,130000,,54,,2407.407407,,3,
sell,PH,|Argentina|Capital Federal|Villa Ortuzar|,"-34.578203,-58.4640471",159000,USD,2410821.6,159000,74,53,2148.648649,3000,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6281267,-58.6590148",120000,USD,1819488,120000,175,,685.7142857,,,4,
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.585916,-58.399141",495000,USD,7505388,495000,180,0,2750,,,6,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.4946923,-58.4892728",250000,USD,3790600,250000,92,141,2717.391304,1773.049645,,,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.622756,-58.443138",175000,USD,2653420,175000,,99,,1767.676768,8,4,
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.5500232,-58.4634115",180000,USD,2729232,180000,73,70,2465.753425,2571.428571,,4,3200
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5602098434,-58.4438492037",331000,USD,5018754.4,331000,98,73,3377.55102,4534.246575,9,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,"-34.536315,-58.496692",570000,USD,8642568,570000,,480,,1187.5,,4,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6543138802,-58.6264038386",65000,USD,985556,65000,,40,,1625,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.521214,-58.473605",550000,USD,8339320,550000,,362,,1519.337017,19,3,
sell,house,"|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Barrio Cerrado ""Isla del Sol""|","-34.42891,-58.594164",450000,USD,6823080,450000,220,220,2045.454545,2045.454545,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,"-34.4602555,-58.5279822",115000,USD,1743676,115000,44,44,2613.636364,2613.636364,9,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Fátima|,"-34.3761145,-58.8690437",145000,USD,2198548,145000,179,154,810.0558659,941.5584416,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,62000,USD,940068.8,62000,,45,,1377.777778,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,150000,USD,2274360,150000,120,120,1250,1250,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,,,,,286,320,,,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Este|,"-34.7052440877,-58.3863813085",75000,USD,1137180,75000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.570884,-58.488694",92000,USD,1394940.8,92000,,40,,2300,4,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7266443,-58.2558305",140000,USD,2122736,140000,50,50,2800,2800,5,2,2250
sell,house,|Argentina|Capital Federal|Caballito|,"-34.6131897,-58.4545784",280000,USD,4245472,280000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4452393,-58.549674",86000,USD,1303966.4,86000,48,45,1791.666667,1911.111111,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Villa Raffo|,"-34.6048122469,-58.5266027537",92000,USD,1394940.8,92000,70,70,1314.285714,1314.285714,1,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5856235,-58.5815194",,,,,150,110,,,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,"-34.3712979,-58.7449918",195000,USD,2956668,195000,0,180,,1083.333333,,4,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.9054230766,-57.9492454307",60000,USD,909744,60000,42,42,1428.571429,1428.571429,,3,1300
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.446614,-58.5495072",115000,USD,1743676,115000,71,68,1619.71831,1691.176471,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,890000,USD,13494536,890000,1149,445,774.586597,2000,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5759535,-58.5331882",78500,USD,1190248.4,78500,,,,,,,
sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6666282164,-58.6008887546",160000,USD,2425984,160000,350,150,457.1428571,1066.666667,,,
sell,house,|Argentina|Capital Federal|Versalles|,"-34.6317401,-58.5184106",190000,USD,2880856,190000,173,125,1098.265896,1520,,5,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.504718,-58.503571",185000,USD,2805044,185000,,135,,1370.37037,,4,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6511540974,-58.6151107595",76000,USD,1152342.4,76000,47,42,1617.021277,1809.52381,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6377006,-58.5920591",110000,USD,1667864,110000,95,80,1157.894737,1375,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,178433,USD,2705472.51,178433,126,84,1416.134921,2124.202381,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.657809,-58.619851",85000,USD,1288804,85000,,50,,1700,3,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.4798047,-58.5687559",1300000,USD,19711120,1300000,2874,301,452.3312457,4318.936877,,,
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5888889,-58.4305556",596102,ARS,594447.5,39205.37,31,24,1264.689355,24837.58333,,,
sell,apartment,|Argentina|Capital Federal|Parque Centenario|,"-34.60695,-58.435936",,,,,,43,,,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7219265,-58.269519",,,,,,,,,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.4529533,-58.5444749",149000,USD,2259197.6,149000,0,0,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,46,,,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,"-34.4752815,-58.7255926",249000,USD,3775437.6,249000,160,160,1556.25,1556.25,,5,9000
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5091553,-58.4790341",255000,USD,3866412,255000,75,67,3400,3805.970149,,3,4500
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5373435,-58.4765927",139000,USD,2107573.6,139000,53,53,2622.641509,2622.641509,2,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|San Lucas Village|,,250000,USD,3790600,250000,200,170,1250,1470.588235,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4390602961,-58.8569164176",860850,ARS,858460.66,56617.73,52,40,1088.8025,21521.25,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6540059,-58.638043",68000,USD,1031043.2,68000,30,30,2266.666667,2266.666667,,1,400
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.6432053,-58.5746897",,,,,40,40,,,,2,
sell,house,|Argentina|Capital Federal|Boedo|,"-34.629446,-58.424882",119500,USD,1811906.8,119500,105,60,1138.095238,1991.666667,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9387575,-57.9780053",,,,,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6431374,-58.5982297",120000,USD,1819488,120000,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,,244000,USD,3699625.6,244000,500,132,488,1848.484848,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5754197,-58.7251408",90000,USD,1364616,90000,80,80,1125,1125,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.4090206,-58.5928091",370000,USD,5610088,370000,350,310,1057.142857,1193.548387,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.921302,-57.938955",92000,USD,1394940.8,92000,,65,,1415.384615,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7368266,-58.3990949",580000,USD,8794192,580000,0,350,,1657.142857,,,
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.5940608,-58.4450527",65000,USD,985556,65000,30,27,2166.666667,2407.407407,,1,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4388479349,-58.8571739097",720000,ARS,718001.65,47354.09,32,27,1479.815313,26666.66667,,,
sell,apartment,|Argentina|Capital Federal|Parque Chacabuco|,"-34.6289607,-58.4400888",75000,USD,1137180,75000,29,29,2586.206897,2586.206897,,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,"-34.4762033305,-58.5556294006",110000,USD,1667864,110000,77,77,1428.571429,1428.571429,,3,
sell,apartment,|Argentina|Capital Federal|Parque Chas|,"-34.588369,-58.483862",93900,USD,1423749.36,93900,,42,,2235.714286,2,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,,340000,USD,5155216,340000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Monserrat|,"-34.61777878,-58.38365173",85000,USD,1288804,85000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,"-34.460587,-58.907211",1083300,ARS,1080293.25,71248.17,,47,,23048.93617,,2,
sell,apartment,|Argentina|Capital Federal|San Nicolás|,"-34.6037137392,-58.3815808896",140000,USD,2122736,140000,120,90,1166.666667,1555.555556,,5,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4373537,-58.5551782",220000,USD,3335728,220000,0,150,,1466.666667,,,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6130266,-58.4331373",205920,USD,3122241.4,205920,70,0,2941.714286,,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|Barrio Los Lagos|,"-34.4025228269,-58.6644561254",720000,USD,10916928,720000,240,210,3000,3428.571429,,,
sell,store,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.7100797158,-58.3871412277",1280000,USD,19407872,1280000,,180,,7111.111111,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Vicente López|,"-34.5342667,-58.4727873",410000,USD,6216584,410000,346,193,1184.971098,2124.352332,,6,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.390913,-58.628272",1600000,USD,24259840,1600000,,20,,80000,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4330464,-58.5834793",85000,USD,1288804,85000,44,40,1931.818182,2125,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.475357,-58.5356536",185000,USD,2805044,185000,0,105,,1761.904762,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6368281,-58.5762849",,,,,1040,1040,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6819478,-58.5668423",250000,USD,3790600,250000,200,200,1250,1250,,5,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5847591,-58.567889",50000,USD,758120,50000,49,41,1020.408163,1219.512195,,,
sell,apartment,|Argentina|Capital Federal|San Cristobal|,"-34.620195,-58.40405",78800,USD,1194797.12,78800,,46,,1713.043478,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6709127,-58.699569",72000,USD,1091692.8,72000,35,28,2057.142857,2571.428571,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,,130000,USD,1971112,130000,300,130,433.3333333,1000,,3,
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6039994,-58.4557835",95000,USD,1440428,95000,44,41,2159.090909,2317.073171,,1,
sell,apartment,|Argentina|Capital Federal|Villa del Parque|,"-34.6121896,-58.4779525",155000,USD,2350172,155000,110,84,1409.090909,1845.238095,7,3,1100
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5098378,-58.4914376",2200000,USD,33357280,2200000,778,658,2827.763496,3343.465046,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|San Miguel|,"-34.529119,-58.726867",155000,USD,2350172,155000,140,140,1107.142857,1107.142857,,3,
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6160275,-58.4673425",68000,USD,1031043.2,68000,36,36,1888.888889,1888.888889,,1,1000
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|,"-34.6598587,-58.36563873",78000,USD,1182667.2,78000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Villa Luro|,,145000,USD,2198548,145000,80,75,1812.5,1933.333333,,4,
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5920105,-58.3999367",65000,USD,985556,65000,,17,,3823.529412,,1,
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.637834,-58.503098",98000,USD,1485915.2,98000,,52,,1884.615385,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.640337,-58.562584",210000,USD,3184104,210000,110,104,1909.090909,2019.230769,18,4,2000
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|La Reja|,"-34.6648053546,-58.8345919177",750000,ARS,747918.28,49327.17,212,64,232.6753302,11718.75,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6522341809,-58.67709595",,,,,0,110,,,,5,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Barrio San Isidro Labrador|,"-34.38037872,-58.67873764",195000,USD,2956668,195000,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.7986898,-58.2628718",280000,USD,4245472,280000,220,190,1272.727273,1473.684211,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|San Antonio De Padua|,"-34.66947556,-58.69158173",200000,USD,3032480,200000,350,350,571.4285714,571.4285714,,4,1
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,"-34.4624719,-58.5244982",169000,USD,2562445.6,169000,114,150,1482.45614,1126.666667,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.667576,-58.621749",139000,USD,2107573.6,139000,,83,,1674.698795,,5,
sell,house,|Argentina|Capital Federal|Mataderos|,"-34.65188,-58.505312",198000,USD,3002155.2,198000,,176,,1125,,6,
sell,apartment,|Argentina|Capital Federal|Colegiales|,"-34.5819231,-58.4540536",230000,USD,3487352,230000,150,105,1533.333333,2190.47619,1,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar del Lago|,"-34.463683,-58.864274",450000,USD,6823080,450000,,241,,1867.219917,,3,
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5695469,-58.4422153",799000,USD,12114757.6,799000,0,0,,,,6,6500
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.573723,-58.489966",94500,USD,1432846.8,94500,,39,,2423.076923,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7421904,-58.4121347",217000,USD,3290240.8,217000,0,90,,2411.111111,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,,85000,USD,1288804,85000,,37,,2297.297297,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Country Club Aranjuez|,"-34.4155667,-58.8257334",85000,USD,1288804,85000,106,96,801.8867925,885.4166667,,4,9800
sell,apartment,|Argentina|Capital Federal|San Cristobal|,"-34.6184962081,-58.4064497116",67600,USD,1024978.24,67600,36,35,1877.777778,1931.428571,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.64123917,-58.64915466",350000,USD,5306840,350000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5776338,-58.5884334",,,,,,150,,,,4,
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5660741,-58.4372368",195000,USD,2956668,195000,68,63,2867.647059,3095.238095,,3,3250
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Villa Adelina|,"-34.5166932414,-58.536687138",190000,USD,2880856,190000,140,140,1357.142857,1357.142857,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Belén de Escobar|,"-34.3548095,-58.7863822",,,,,250,154,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4111766,-58.5881505",162000,USD,2456308.8,162000,67,46,2417.910448,3521.73913,3,,
sell,house,|Argentina|Capital Federal|Floresta|,,,,,,190,168,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,485000,USD,7353764,485000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Monte Grande|,"-34.8111717646,-58.468306637",,,,,60,40,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6063309,-58.7067866",260000,USD,3942224,260000,175,135,1485.714286,1925.925926,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,170000,USD,2577608,170000,,1,,170000,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5490662,-58.690237",,,,,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4838462,-58.4891918",590000,USD,8945816,590000,485,360,1216.494845,1638.888889,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4120897,-58.5873474",126000,USD,1910462.4,126000,49,47,2571.428571,2680.851064,1,,
sell,house,|Argentina|Capital Federal|San Cristobal|,"-34.6208515,-58.3971282",220000,USD,3335728,220000,284,224,774.6478873,982.1428571,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7167204,-58.2601028",,,,,125,125,,,,4,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Santos Lugares|,"-34.5993523,-58.5424956",414000,ARS,412850.92,27228.6,47,47,579.3319149,8808.510638,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,"-34.7106673,-58.3934794",260000,USD,3942224,260000,242,160,1074.380165,1625,,4,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|San Fernando|,"-34.447636,-58.547816",110000,USD,1667864,110000,,64,,1718.75,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|La Reja|,"-34.60363007,-58.7894783",110000,USD,1667864,110000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5758639,-58.591013",,,,,200,180,,,,5,
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6149042601,-58.3981135774",77000,USD,1167504.8,77000,38,38,2026.315789,2026.315789,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.929448,-57.950006",,,,,,,,,,3,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5404869176,-58.5454942856",85000,USD,1288804,85000,72,48,1180.555556,1770.833333,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,,220000,USD,3335728,220000,250,190,880,1157.894737,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.447361,-58.631426",330000,USD,5003592,330000,877,204,376.2827822,1617.647059,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,76000,USD,1152342.4,76000,,40,,1900,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,790000,USD,11978296,790000,,430,,1837.209302,,7,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,,95000,USD,1440428,95000,,46,,2065.217391,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7484759,-58.3957421",90000,USD,1364616,90000,0,45,,2000,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4700167,-58.5166572",139000,USD,2107573.6,139000,57,49,2438.596491,2836.734694,2,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,,80000,USD,1212992,80000,,50,,1600,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4892823,-58.498027",480000,USD,7277952,480000,189,173,2539.68254,2774.566474,5,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.425087,-58.5796585",210000,USD,3184104,210000,180,110,1166.666667,1909.090909,,,
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5720545,-58.4745649",298000,USD,4518395.2,298000,94,94,3170.212766,3170.212766,,3,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,"-34.577168,-58.538654",128000,USD,1940787.2,128000,120,100,1066.666667,1280,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,290000,USD,4397096,290000,218,218,1330.275229,1330.275229,,6,4600
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5590984,-58.454162",320000,USD,4851968,320000,156,156,2051.282051,2051.282051,,4,3200
sell,apartment,|Argentina|Capital Federal|Constitución|,"-34.6226764,-58.3898616",85000,USD,1288804,85000,59,59,1440.677966,1440.677966,,,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.62818,-58.429483",109000,USD,1652701.6,109000,,37,,2945.945946,6,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|,"-34.8049812,-58.280138",,,,,414,414,,,,5,
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.5393480855,-58.4735931953",189000,USD,2865693.6,189000,,107,,1766.35514,3,4,
sell,apartment,|Argentina|Capital Federal|Congreso|,"-34.6074047747,-58.3907823249",133000,USD,2016599.2,133000,75,75,1773.333333,1773.333333,,3,
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6374837,-58.4601452",72000,USD,1091692.8,72000,34,31,2117.647059,2322.580645,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6051846,-58.5675323",78000,USD,1182667.2,78000,45,,1733.333333,,6,2,
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6266172,-58.4599658",1419000,ARS,1415061.45,93327.01,38,35,2455.973947,40542.85714,,1,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Vicente López|,"-34.5281205,-58.473816",480000,USD,7277952,480000,82,78,5853.658537,6153.846154,,2,80
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5594171598,-58.4546914646",739000,USD,11205013.6,739000,300,,2463.333333,,,,
sell,store,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9141896,-57.9415143",,,,,,,,,,,
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.633464,-58.368463",63000,USD,955231.2,63000,37,37,1702.702703,1702.702703,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Bernal|,"-34.7164823,-58.2896003",85000,USD,1288804,85000,45,,1888.888889,,,2,
sell,apartment,|Argentina|Capital Federal|Parque Avellaneda|,"-34.647382,-58.4772734",87000,USD,1319128.8,87000,48,42,1812.5,2071.428571,,,
sell,apartment,|Argentina|Capital Federal|Coghlan|,"-34.55826,-58.478587",983006,ARS,980277.66,64651.88,45,36,1436.708444,27305.72222,,,
